step,reward,cumulative_reward,main_agent_type,main_agent_energy,main_agent_sensor_flag,main_agent_target_detected,prey_population,predator_population,total_alive,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,39.980000000000004,39.980000000000004,PREY,100.0,0,1,7,2,9,100.0,84.58,100.0,100.0,84.58,84.58,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
2,39.980000000000004,79.96000000000001,PREY,100.0,0,1,7,2,9,100.0,84.16,100.0,100.0,84.16,84.16,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
3,39.980000000000004,119.94000000000001,PREY,100.0,0,1,7,2,9,100.0,83.74,100.0,100.0,83.74,83.74,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
4,39.980000000000004,159.92000000000002,PREY,100.0,0,1,7,2,9,100.0,83.47,100.0,100.0,83.32,83.61999999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
5,39.980000000000004,199.90000000000003,PREY,100.0,0,1,7,2,9,100.0,83.19999999999999,100.0,100.0,82.89999999999999,83.49999999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
6,39.980000000000004,239.88000000000005,PREY,100.0,0,1,7,2,9,100.0,82.92999999999998,100.0,100.0,82.47999999999999,83.37999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
7,39.980000000000004,279.86000000000007,PREY,100.0,0,1,7,2,9,100.0,82.65999999999998,100.0,100.0,82.05999999999999,83.25999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
8,39.980000000000004,319.8400000000001,PREY,100.0,0,1,7,2,9,100.0,82.38999999999999,100.0,100.0,81.63999999999999,83.13999999999997,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
9,39.980000000000004,359.8200000000001,PREY,100.0,0,1,7,2,9,100.0,82.11999999999998,100.0,100.0,81.21999999999998,83.01999999999997,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
10,39.980000000000004,399.8000000000001,PREY,100.0,0,1,7,2,9,100.0,81.84999999999997,100.0,100.0,80.79999999999998,82.89999999999996,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
11,39.980000000000004,439.78000000000014,PREY,100.0,0,1,7,2,9,100.0,81.72999999999996,100.0,100.0,80.67999999999998,82.77999999999996,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
12,39.980000000000004,479.76000000000016,PREY,100.0,0,1,7,2,9,100.0,81.60999999999996,100.0,100.0,80.55999999999997,82.65999999999995,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
13,39.980000000000004,519.7400000000001,PREY,100.0,0,1,7,2,9,100.0,81.48999999999995,100.0,100.0,80.43999999999997,82.53999999999995,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
14,39.980000000000004,559.7200000000001,PREY,100.0,0,1,7,2,9,100.0,81.36999999999995,100.0,100.0,80.31999999999996,82.41999999999994,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
15,39.980000000000004,599.7000000000002,PREY,100.0,0,1,7,2,9,100.0,81.24999999999994,100.0,100.0,80.19999999999996,82.29999999999994,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
16,39.980000000000004,639.6800000000002,PREY,100.0,0,1,7,2,9,100.0,81.12999999999994,100.0,100.0,80.07999999999996,82.17999999999994,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
17,39.980000000000004,679.6600000000002,PREY,100.0,0,1,7,2,9,100.0,81.00999999999993,100.0,100.0,79.95999999999995,82.05999999999993,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
18,39.980000000000004,719.6400000000002,PREY,100.0,0,1,7,2,9,100.0,80.88999999999993,100.0,100.0,79.83999999999995,81.93999999999993,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
19,39.980000000000004,759.6200000000002,PREY,100.0,0,1,7,2,9,100.0,80.76999999999992,100.0,100.0,79.71999999999994,81.81999999999992,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
20,39.980000000000004,799.6000000000003,PREY,100.0,0,1,7,2,9,100.0,80.64999999999992,100.0,100.0,79.59999999999994,81.69999999999992,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
21,39.980000000000004,839.5800000000003,PREY,100.0,0,1,7,2,9,100.0,80.52999999999992,100.0,100.0,79.47999999999993,81.57999999999991,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
22,39.980000000000004,879.5600000000003,PREY,100.0,0,1,7,2,9,100.0,80.40999999999991,100.0,100.0,79.35999999999993,81.45999999999991,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
23,39.980000000000004,919.5400000000003,PREY,100.0,0,1,7,2,9,100.0,80.2899999999999,100.0,100.0,79.23999999999992,81.3399999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
24,39.980000000000004,959.5200000000003,PREY,100.0,0,1,7,2,9,100.0,80.1699999999999,100.0,100.0,79.11999999999992,81.2199999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
25,39.980000000000004,999.5000000000003,PREY,100.0,0,1,7,2,9,100.0,80.0499999999999,100.0,100.0,78.99999999999991,81.0999999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
26,39.980000000000004,1039.4800000000002,PREY,100.0,0,1,7,2,9,100.0,79.9299999999999,100.0,100.0,78.87999999999991,80.97999999999989,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
27,39.980000000000004,1079.4600000000003,PREY,100.0,0,1,7,2,9,100.0,79.80999999999989,100.0,100.0,78.7599999999999,80.85999999999989,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
28,39.980000000000004,1119.4400000000003,PREY,100.0,0,1,7,2,9,100.0,79.68999999999988,100.0,100.0,78.6399999999999,80.73999999999988,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
29,39.980000000000004,1159.4200000000003,PREY,100.0,0,1,7,2,9,100.0,79.56999999999988,100.0,100.0,78.5199999999999,80.61999999999988,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
30,39.980000000000004,1199.4000000000003,PREY,100.0,0,1,7,2,9,100.0,79.44999999999987,100.0,100.0,78.39999999999989,80.49999999999987,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
31,39.980000000000004,1239.3800000000003,PREY,100.0,0,1,7,2,9,100.0,79.32999999999987,100.0,100.0,78.27999999999989,80.37999999999987,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
32,39.980000000000004,1279.3600000000004,PREY,100.0,0,1,7,2,9,100.0,79.20999999999987,100.0,100.0,78.15999999999988,80.25999999999986,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
33,39.980000000000004,1319.3400000000004,PREY,100.0,0,1,7,2,9,100.0,79.08999999999986,100.0,100.0,78.03999999999988,80.13999999999986,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
34,39.980000000000004,1359.3200000000004,PREY,100.0,0,1,7,2,9,100.0,78.96999999999986,100.0,100.0,77.91999999999987,80.01999999999985,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_35_protocol1_1v1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_35_protocol1_1v1.pkl,baseline_pair,42,10000
