step,reward,cumulative_reward,main_agent_type,main_agent_energy,main_agent_sensor_flag,main_agent_target_detected,prey_population,predator_population,total_alive,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,-0.01,-0.01,PREDATOR,84.58,0,0,30,11,41,98.991,84.58000000000001,69.72999999999999,100.0,84.58,84.58,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
2,-0.01,-0.02,PREDATOR,84.16,0,0,30,11,41,98.982,84.18727272727273,69.45999999999998,100.0,84.16,84.46,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
3,-0.01,-0.03,PREDATOR,83.74,0,0,30,11,41,100.0,83.82181818181819,100.0,100.0,83.74,84.33999999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
4,-0.01,-0.04,PREDATOR,83.32,0,0,30,11,41,100.0,83.45636363636363,100.0,100.0,83.32,84.21999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
5,-0.01,-0.05,PREDATOR,82.89999999999999,0,0,30,11,41,100.0,83.11818181818181,100.0,100.0,82.89999999999999,84.09999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
6,-0.01,-0.060000000000000005,PREDATOR,82.47999999999999,0,0,30,11,41,100.0,82.77999999999999,100.0,100.0,82.47999999999999,83.97999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
7,-0.01,-0.07,PREDATOR,82.05999999999999,0,0,30,11,41,100.0,82.44181818181816,100.0,100.0,82.05999999999999,83.85999999999997,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
8,-0.01,-0.08,PREDATOR,81.63999999999999,0,0,30,11,41,100.0,82.10363636363635,100.0,100.0,81.63999999999999,83.73999999999997,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
9,-0.01,-0.09,PREDATOR,81.21999999999998,0,0,30,11,41,100.0,81.76545454545453,100.0,100.0,81.21999999999998,83.61999999999996,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
10,-0.01,-0.09999999999999999,PREDATOR,80.79999999999998,0,0,30,12,42,100.0,72.55833333333331,100.0,100.0,45.0,83.49999999999996,0,1,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
11,-0.01,-0.10999999999999999,PREDATOR,80.37999999999998,0,0,30,12,42,100.0,72.23833333333332,100.0,100.0,44.580000000000005,83.37999999999995,0,1,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
12,-0.01,-0.11999999999999998,PREDATOR,79.95999999999998,0,0,30,12,42,100.0,71.91833333333332,100.0,100.0,44.16000000000001,83.25999999999995,0,1,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
13,-0.01,-0.12999999999999998,PREDATOR,79.53999999999998,0,0,29,12,41,100.0,73.75666666666665,100.0,100.0,43.740000000000016,83.13999999999994,0,1,1,1,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
14,-0.01,-0.13999999999999999,PREDATOR,79.11999999999998,0,1,29,12,41,100.0,73.51166666666664,100.0,100.0,43.32000000000002,83.01999999999994,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
15,-0.01,-0.15,PREDATOR,78.69999999999997,0,1,29,12,41,100.0,73.26666666666664,100.0,100.0,42.90000000000003,82.89999999999993,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
16,-0.01,-0.16,PREDATOR,78.27999999999997,0,1,29,12,41,100.0,73.02166666666663,100.0,100.0,42.48000000000003,82.77999999999993,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
17,-0.01,-0.17,PREDATOR,78.15999999999997,0,1,29,12,41,100.0,72.80166666666663,100.0,100.0,42.06000000000004,82.65999999999993,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
18,-0.01,-0.18000000000000002,PREDATOR,78.03999999999996,0,1,29,12,41,100.0,72.55666666666666,100.0,100.0,41.64000000000004,82.53999999999992,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
19,-0.01,-0.19000000000000003,PREDATOR,77.91999999999996,0,1,29,12,41,100.0,72.31166666666662,100.0,100.0,41.22000000000005,82.41999999999992,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
20,-0.01,-0.20000000000000004,PREDATOR,77.79999999999995,0,1,29,12,41,100.0,72.06666666666662,100.0,100.0,40.800000000000054,82.29999999999991,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
21,-0.01,-0.21000000000000005,PREDATOR,77.67999999999995,0,1,29,12,41,100.0,71.82166666666664,100.0,100.0,40.38000000000006,82.17999999999991,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
22,-0.01,-0.22000000000000006,PREDATOR,77.55999999999995,0,1,29,12,41,100.0,71.57666666666661,100.0,100.0,39.960000000000065,82.0599999999999,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_predator_seed1,43,2000
