step,reward,cumulative_reward,main_agent_type,main_agent_energy,main_agent_sensor_flag,main_agent_target_detected,prey_population,predator_population,total_alive,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,39.980000000000004,39.980000000000004,PREY,100.0,0,1,31,10,41,99.02354838709678,84.58000000000001,69.72999999999999,100.0,84.58,84.58,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
2,39.980000000000004,79.96000000000001,PREY,100.0,0,1,31,10,41,99.01483870967742,84.18999999999998,69.45999999999998,100.0,84.16,84.46,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
3,39.980000000000004,119.94000000000001,PREY,100.0,0,1,31,10,41,100.0,83.83,100.0,100.0,83.74,84.33999999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
4,39.980000000000004,159.92000000000002,PREY,100.0,0,1,31,10,41,100.0,83.46999999999998,100.0,100.0,83.32,84.21999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
5,39.980000000000004,199.90000000000003,PREY,100.0,0,1,31,10,41,100.0,83.13999999999999,100.0,100.0,82.89999999999999,84.09999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
6,39.980000000000004,239.88000000000005,PREY,100.0,0,1,31,10,41,100.0,82.80999999999999,100.0,100.0,82.47999999999999,83.97999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
7,39.980000000000004,279.86000000000007,PREY,100.0,0,1,31,10,41,100.0,82.47999999999999,100.0,100.0,82.05999999999999,83.85999999999997,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
8,39.980000000000004,319.8400000000001,PREY,100.0,0,1,31,10,41,100.0,82.14999999999998,100.0,100.0,81.63999999999999,83.73999999999997,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
9,39.980000000000004,359.8200000000001,PREY,100.0,0,1,31,10,41,100.0,81.81999999999998,100.0,100.0,81.21999999999998,83.61999999999996,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
10,39.980000000000004,399.8000000000001,PREY,100.0,0,1,31,11,42,100.0,71.80909090909087,100.0,100.0,45.0,83.49999999999996,0,1,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
11,39.980000000000004,439.78000000000014,PREY,100.0,0,1,31,11,42,100.0,71.4981818181818,100.0,100.0,44.580000000000005,83.37999999999995,0,1,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
12,39.980000000000004,479.76000000000016,PREY,100.0,0,1,31,11,42,100.0,71.18727272727271,100.0,100.0,44.16000000000001,83.25999999999995,0,1,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
13,39.980000000000004,519.7400000000001,PREY,100.0,0,1,30,11,41,100.0,73.23090909090907,100.0,100.0,43.740000000000016,83.13999999999994,0,1,1,1,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
14,39.980000000000004,559.7200000000001,PREY,100.0,0,1,30,11,41,100.0,73.00181818181817,100.0,100.0,43.32000000000002,83.01999999999994,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
15,39.980000000000004,599.7000000000002,PREY,100.0,0,1,30,11,41,100.0,72.77272727272724,100.0,100.0,42.90000000000003,82.89999999999993,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
16,39.980000000000004,639.6800000000002,PREY,100.0,0,1,30,11,41,100.0,72.54363636363632,100.0,100.0,42.48000000000003,82.77999999999993,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
17,39.980000000000004,679.6600000000002,PREY,100.0,0,1,30,11,41,100.0,72.31454545454541,100.0,100.0,42.06000000000004,82.65999999999993,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
18,39.980000000000004,719.6400000000002,PREY,100.0,0,1,30,11,41,100.0,72.05818181818178,100.0,100.0,41.64000000000004,82.53999999999992,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
19,39.980000000000004,759.6200000000002,PREY,100.0,0,1,30,11,41,100.0,71.80181818181813,100.0,100.0,41.22000000000005,82.41999999999992,0,1,1,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_prey_run39_cycle5.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\best_checkpoints\best_predator_run39_cycle5.pkl,cycle5_prey_seed1,43,2000
