cycle,perspective,seed,steps,survived_2000,final_prey,final_predator,mean_prey,mean_predator,predation_total,prey_births,pred_births,reward_final,pred_zero_steps,prey_zero_steps
1,predator,0,749,False,288,148,282.34178905206943,55.06275033377837,1226,1485,165,117.4000000000032,0,0
1,predator,1,535,False,337,169,295.31775700934577,72.14766355140186,901,1208,186,199.00000000000333,0,0
1,predator,2,154,False,337,18,103.87662337662337,13.707792207792208,47,354,9,-11.54,0,0
1,prey,0,567,False,233,146,299.9400352733686,19.534391534391535,772,978,144,17695.399999999867,0,0
1,prey,1,595,False,337,39,301.4235294117647,12.21344537815126,176,482,34,222.98999999999955,0,0
1,prey,2,14,False,25,10,30.428571428571427,10.0,6,0,0,187.8100000000001,0,0
2,predator,0,631,False,337,169,259.9080824088748,102.53724247226624,1126,1433,222,32.27666666666758,0,0
2,predator,1,399,False,337,169,277.09774436090225,56.91478696741854,826,1133,160,-13.98999999999996,0,0
2,predator,2,841,False,337,5,288.89179548156955,9.214030915576695,46,353,2,74.10333333333048,0,0
2,prey,0,62,False,22,10,25.85483870967742,10.0,9,0,0,28.370000000000125,0,0
2,prey,1,120,False,337,11,138.81666666666666,10.25,16,322,1,67.27999999999993,0,0
2,prey,2,49,False,21,11,26.122448979591837,10.775510204081632,10,0,1,28.0000000000001,0,0
3,predator,0,583,False,337,6,287.6620926243568,10.660377358490566,17,324,2,11.009999999999474,0,0
3,predator,1,615,False,11,8,16.3869918699187,11.201626016260162,19,0,1,6.603333333332875,0,0
3,predator,2,619,False,17,6,20.78675282714055,10.609046849757673,13,0,0,-16.189999999999912,0,0
3,prey,0,2000,True,338,0,323.618,3.263,16,323,2,459.8800000000123,968,0
3,prey,1,2000,True,13,0,14.4755,3.878,18,0,1,459.8800000000123,1069,0
3,prey,2,2000,True,18,0,19.172,3.487,13,0,0,269.8700000000038,1039,0
4,predator,0,544,False,337,7,293.96875,11.751838235294118,20,328,2,-15.439999999999928,0,0
4,predator,1,469,False,337,14,279.5117270788913,14.94456289978678,56,363,5,100.05999999999771,0,0
4,predator,2,1123,False,337,169,313.66607301869993,95.74087266251114,1864,2171,285,190.8291666666701,0,0
4,prey,0,145,False,337,12,176.55172413793105,11.344827586206897,15,321,2,60.53000000000021,0,0
4,prey,1,509,False,337,64,291.5520628683694,21.557956777996072,265,571,57,13733.46999999989,0,0
4,prey,2,27,False,27,11,29.48148148148148,10.37037037037037,6,2,1,28.720000000000056,0,0
5,predator,0,895,False,2,5,13.653631284916202,9.846927374301677,28,0,1,32.07000000000127,0,0
5,predator,1,1129,False,9,0,13.162090345438441,8.350752878653676,21,0,1,54.85333333332933,1,0
5,predator,2,431,False,6,9,19.633410672853827,11.443155452436194,24,0,1,11.45333333333268,0,0
5,prey,0,356,False,15,9,25.064606741573034,10.896067415730338,16,0,1,14140.879999999892,0,0
5,prey,1,226,False,18,11,26.0,10.960176991150442,13,0,1,9023.479999999949,0,0
5,prey,2,177,False,24,10,30.598870056497177,10.0,7,0,0,6981.459999999969,0,0
