step,reward,cumulative_reward,main_agent_type,main_agent_energy,main_agent_sensor_flag,main_agent_target_detected,prey_population,predator_population,total_alive,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,39.980000000000004,39.980000000000004,PREY,100.0,0,1,31,10,41,100.0,84.61000000000001,100.0,100.0,84.58,84.88,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
2,-0.01,39.970000000000006,PREY,99.88,0,1,31,10,41,99.88000000000002,84.22,99.88,99.88,84.16,84.75999999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
3,-0.01,39.96000000000001,PREY,99.75999999999999,0,1,31,10,41,99.76000000000005,83.85999999999999,99.75999999999999,99.75999999999999,83.74,84.63999999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
4,-0.01,39.95000000000001,PREY,99.63999999999999,0,1,31,10,41,99.63999999999996,83.49999999999997,99.63999999999999,99.63999999999999,83.32,84.51999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
5,-0.01,39.94000000000001,PREY,99.51999999999998,0,1,31,10,41,99.51999999999998,83.13999999999999,99.51999999999998,99.51999999999998,82.89999999999999,84.39999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
6,-0.01,39.930000000000014,PREY,99.39999999999998,0,1,31,10,41,99.4,82.80999999999999,99.39999999999998,99.39999999999998,82.47999999999999,84.27999999999997,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
7,-0.01,39.920000000000016,PREY,99.27999999999997,0,1,31,10,41,99.27999999999992,82.47999999999998,99.27999999999997,99.27999999999997,82.05999999999999,84.15999999999997,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
8,-0.01,39.91000000000002,PREY,99.15999999999997,0,1,31,10,41,99.15999999999994,82.14999999999998,99.15999999999997,99.15999999999997,81.63999999999999,84.03999999999996,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
9,-0.01,39.90000000000002,PREY,99.03999999999996,0,1,31,10,41,99.02548387096769,81.81999999999998,98.88999999999996,99.03999999999996,81.21999999999998,83.91999999999996,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
10,-0.01,39.89000000000002,PREY,98.91999999999996,0,1,31,10,41,98.90548387096771,81.60999999999999,98.76999999999995,98.91999999999996,80.79999999999998,83.79999999999995,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_39_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_39_protocol2_cycle3.pkl,cycle3_prey_seed2,44,2000
