step,reward,cumulative_reward,main_agent_type,main_agent_energy,main_agent_sensor_flag,main_agent_target_detected,prey_population,predator_population,total_alive,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,0.0006249999999999988,0.0006249999999999988,PREDATOR,84.58,0,0,30,11,41,100.0,84.60727272727274,100.0,100.0,84.58,84.88,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_40_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_40_protocol2_cycle1.pkl,cycle1_predator_seed1,43,2000
2,0.0006249999999999988,0.0012499999999999976,PREDATOR,84.16,0,0,30,11,41,99.73499999999999,84.21454545454544,99.72999999999999,99.88,84.16,84.75999999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_40_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_40_protocol2_cycle1.pkl,cycle1_predator_seed1,43,2000
3,0.0006249999999999988,0.0018749999999999965,PREDATOR,83.74,0,0,30,11,41,99.47499999999998,83.82181818181817,99.45999999999998,99.75999999999999,83.74,84.63999999999999,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_40_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_40_protocol2_cycle1.pkl,cycle1_predator_seed1,43,2000
4,0.0006249999999999988,0.0024999999999999953,PREDATOR,83.32,0,0,30,11,41,99.21999999999998,83.42909090909089,99.18999999999997,99.63999999999999,83.32,84.51999999999998,0,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_40_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_40_protocol2_cycle1.pkl,cycle1_predator_seed1,43,2000
5,0.0006249999999999988,0.003124999999999994,PREDATOR,83.19999999999999,0,0,31,11,42,95.77258064516128,83.06363636363635,50.0,99.51999999999998,82.89999999999999,84.39999999999998,1,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_40_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_40_protocol2_cycle1.pkl,cycle1_predator_seed1,43,2000
6,0.0,0.003124999999999994,PREDATOR,83.07999999999998,0,0,31,11,42,98.51709677419355,82.72545454545455,89.88,100.0,82.47999999999999,83.97999999999998,1,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_40_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_40_protocol2_cycle1.pkl,cycle1_predator_seed1,43,2000
7,0.0,0.003124999999999994,PREDATOR,82.95999999999998,0,0,31,11,42,98.26645161290323,82.38727272727272,89.60999999999999,99.72999999999999,82.05999999999999,83.55999999999997,1,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_40_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_40_protocol2_cycle1.pkl,cycle1_predator_seed1,43,2000
8,0.0,0.003124999999999994,PREDATOR,82.83999999999997,0,0,31,11,42,98.0158064516129,82.02181818181815,89.33999999999997,99.45999999999998,81.63999999999999,83.13999999999997,1,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_40_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_40_protocol2_cycle1.pkl,cycle1_predator_seed1,43,2000
9,0.0,0.003124999999999994,PREDATOR,82.71999999999997,0,0,31,11,42,97.76516129032254,81.71090909090907,89.06999999999996,99.18999999999997,81.21999999999998,82.71999999999997,1,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_40_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_40_protocol2_cycle1.pkl,cycle1_predator_seed1,43,2000
10,0.0,0.003124999999999994,PREDATOR,82.59999999999997,0,0,31,11,42,97.51451612903213,81.37272727272726,88.79999999999995,98.91999999999996,80.79999999999998,82.59999999999997,1,0,0,0,0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_40_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_40_protocol2_cycle1.pkl,cycle1_predator_seed1,43,2000
