step,prey_population,predator_population,total_alive,system_coexistence_score,system_extinct,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,reward,cumulative_reward,reference_agent_type,reference_agent_energy,reference_agent_context,reference_agent_target_detected,prey_model_path,predator_model_path,run_name,seed,long_episode_steps
1,33,11,44,0.5833333333333333,0,91.34727272727272,77.99090909090908,50.0,100.0,45.0,84.88,3,1,0,0,0,39.99,39.99,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,seed0,42,2000
2,32,11,43,0.625,0,98.0884375,79.17454545454545,69.45999999999998,100.0,44.580000000000005,100.0,3,1,1,1,0,79.98,119.97,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,seed0,42,2000
3,32,11,43,0.625,0,99.0203125,78.94545454545454,69.18999999999997,100.0,44.16000000000001,99.88,3,1,1,1,0,119.97,239.94,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,seed0,42,2000
4,32,11,43,0.625,0,99.979375,78.71636363636362,99.33999999999997,100.0,43.740000000000016,99.75999999999999,3,1,1,1,0,159.96,399.9,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,seed0,42,2000
5,31,11,42,0.6666666666666667,0,99.99129032258064,80.79954545454542,99.72999999999999,100.0,43.62000000000002,99.63999999999999,3,1,2,2,0,199.95000000000002,599.85,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,seed0,42,2000
6,31,11,42,0.6666666666666667,0,99.98258064516129,80.59772727272725,99.45999999999998,100.0,43.200000000000024,99.51999999999998,3,1,2,2,0,239.94000000000003,839.7900000000001,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,seed0,42,2000
7,31,11,42,0.6666666666666667,0,100.0,80.39590909090907,100.0,100.0,42.78000000000003,99.39999999999998,3,1,2,2,0,279.93,1119.72,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,seed0,42,2000
8,31,11,42,0.6666666666666667,0,100.0,80.19409090909087,100.0,100.0,42.360000000000035,99.27999999999997,3,1,2,2,0,319.92,1439.64,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,seed0,42,2000
9,33,11,44,0.5833333333333333,0,93.18181818181819,81.69954545454543,50.0,100.0,41.94000000000004,100.0,6,1,3,3,0,359.91,1799.5500000000002,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,seed0,42,2000
10,35,11,46,0.5,0,94.84685714285715,81.52499999999998,50.0,100.0,41.520000000000046,99.88,8,1,3,3,0,399.90000000000003,2199.4500000000003,PREY,100.0,0,1,src\models\trained_prey_43_protocol2_cycle2.pkl,src\models\trained_predator_43_protocol2_cycle2.pkl,seed0,42,2000
