cycle,run_name,prey_model_path,predator_model_path,seed,steps_ran,csv_path,mean_prey_population,mean_predator_population,final_prey_population,final_predator_population,prey_population_cv,predator_population_cv,prey_oscillation_period,predator_oscillation_period,system_survival_fraction,system_extinction_step,coexistence_score_mean,coexistence_score_min,coexistence_score_final,prey_birth_rate,predator_birth_rate,predation_rate,prey_death_rate,predator_death_rate,mean_prey_lifespan,mean_predator_lifespan,cumulative_predation_events,cumulative_prey_births,cumulative_predator_births,cumulative_prey_deaths,cumulative_predator_deaths
1,cycle1_seed0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle1.pkl,42,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run50\cycle1_seed0__trained_prey_50_protocol2_cycle1__trained_predator_50_protocol2_cycle1_2000steps.csv,315.71,89.2955,273,155,0.1632,0.7939,9.3,40.6,1.0,0,0.4914,0.0,0.8782,3.4175,0.224,3.296,3.296,0.1515,95.8,589.4,6592,6835,448,6592,303
1,cycle1_seed1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle1.pkl,43,1469,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run50\cycle1_seed1__trained_prey_50_protocol2_cycle1__trained_predator_50_protocol2_cycle1_1469steps.csv,153.33287950987065,78.83934649421376,0,0,0.6327,0.6265,9.1,101.0,0.6964,1024,0.1996,0.0,0.0,2.526208,0.132063,2.54663,2.54663,0.13887,86.5,568.1,3741,3711,194,3741,204
1,cycle1_seed2,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle1.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle1.pkl,44,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run50\cycle1_seed2__trained_prey_50_protocol2_cycle1__trained_predator_50_protocol2_cycle1_2000steps.csv,273.495,126.4685,2,145,0.3382,0.4486,6.1,80.0,1.0,0,0.6841,0.0,0.0051,6.3705,0.1685,6.3845,6.3845,0.101,42.8,1252.2,12769,12741,337,12769,202
2,cycle2_seed0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle2.pkl,42,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run50\cycle2_seed0__trained_prey_50_protocol2_cycle2__trained_predator_50_protocol2_cycle2_2000steps.csv,30.1485,32.844,8,0,2.5157,0.3818,6.6,0.0,0.515,1031,0.0513,0.0,0.0,0.4565,0.0405,0.4675,0.4675,0.0455,64.5,1401.6,935,913,81,935,91
2,cycle2_seed1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle2.pkl,43,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run50\cycle2_seed1__trained_prey_50_protocol2_cycle2__trained_predator_50_protocol2_cycle2_2000steps.csv,12.264,21.788,6,0,1.629,0.3999,5.7,0.0,0.542,1085,0.1482,0.0,0.0,0.312,0.024,0.324,0.324,0.029,37.9,1386.2,648,624,48,648,58
2,cycle2_seed2,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle2.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle2.pkl,44,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run50\cycle2_seed2__trained_prey_50_protocol2_cycle2__trained_predator_50_protocol2_cycle2_2000steps.csv,124.488,76.8965,6,0,1.2076,0.6111,8.4,59.5,0.8265,1654,0.2114,0.0,0.0,1.537,0.098,1.549,1.549,0.103,80.4,903.3,3098,3074,196,3098,206
3,cycle3_seed0,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,42,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run50\cycle3_seed0__trained_prey_50_protocol2_cycle3__trained_predator_50_protocol2_cycle3_2000steps.csv,328.1645,9.8825,321,162,0.1421,2.0967,113.0,0.0,1.0,0,0.0208,0.0,0.9877,0.4375,0.0815,0.292,0.292,0.0055,1123.9,1796.8,584,875,163,584,11
3,cycle3_seed1,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,43,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run50\cycle3_seed1__trained_prey_50_protocol2_cycle3__trained_predator_50_protocol2_cycle3_2000steps.csv,327.1685,150.3,336,168,0.1376,0.3124,8.2,66.6,1.0,0,0.8726,0.0,0.997,1.7255,0.253,1.5725,1.5725,0.174,208.1,863.8,3145,3451,506,3145,348
3,cycle3_seed2,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,44,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run50\cycle3_seed2__trained_prey_50_protocol2_cycle3__trained_predator_50_protocol2_cycle3_2000steps.csv,321.007,151.964,295,152,0.1479,0.269,8.9,46.0,1.0,0,0.8981,0.0,0.9673,1.8445,0.316,1.712,1.712,0.245,187.5,620.3,3424,3689,632,3424,490
3,cycle3_seed3,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_prey_50_protocol2_cycle3.pkl,C:\Users\alejl\University\Thesis\ecoSim\src\models\trained_predator_50_protocol2_cycle3.pkl,45,2000,C:\Users\alejl\University\Thesis\ecoSim\src\models\results\long_horizon_evaluation\run50\cycle3_seed3__trained_prey_50_protocol2_cycle3__trained_predator_50_protocol2_cycle3_2000steps.csv,316.6635,155.6575,334,167,0.2086,0.2451,8.9,73.8,1.0,0,0.9415,0.0,0.997,1.903,0.2825,1.751,1.751,0.204,180.8,763.0,3502,3806,565,3502,408
