state,action,value
36,8,29.844071436436785
48,8,29.825192372359442
78,8,29.718859050170405
25,8,29.425757426397684
129,7,28.361150593117678
106,8,28.338408679300798
110,4,28.12409790017907
54,4,27.994221403156658
45,3,27.7634908019015
51,8,27.269401243636956
55,3,27.162425679832687
28,1,26.94139617223753
81,3,26.874718680887817
84,5,26.807093042410507
24,5,26.792948702513897
122,3,26.673660403908997
26,1,26.655365583105297
72,1,26.38816287436595
113,8,26.176545284115083
41,1,26.173347663683703
52,0,26.01316060942138
63,6,25.92537371140086
105,4,25.66557386651041
27,5,25.451513906303635
49,8,25.353580103380978
71,6,25.27930488574511
123,5,24.48509037754104
100,7,24.22913538580711
47,2,24.08613302386827
53,0,23.933097246831007
31,3,23.534777355665486
118,4,23.52613197768332
62,0,23.451970684103436
126,7,23.23634144137447
121,1,23.15781618680641
85,5,23.112331686246314
22,5,23.02577135018442
124,2,22.554814766089528
34,6,22.511776448294054
91,3,22.34257784916943
116,5,22.331835856790484
40,7,22.23299181155695
117,4,21.550580918954207
83,4,21.532152414667646
6,5,21.469086983401994
38,8,21.420653918443154
88,3,21.39701113666113
10,5,21.15835927914491
11,4,20.327730798546188
99,1,20.215645713903314
