episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy
1,-2.389999999999993,350,0.0,PREY_WIN,2,0,84.865,0.0
2,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.45999999999998,0.0
3,-2.3099999999999947,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
4,-2.1699999999999977,350,0.0,PREY_WIN,2,0,84.32499999999997,0.0
5,-2.239999999999996,350,0.0,PREY_WIN,2,0,83.52999999999994,0.0
6,-2.1899999999999973,350,0.0,PREY_WIN,2,0,83.99499999999996,0.0
7,-2.2299999999999964,350,0.0,PREY_WIN,2,0,82.65999999999991,0.0
8,-2.239999999999996,350,0.0,PREY_WIN,2,0,82.58499999999991,0.0
9,-2.249999999999996,350,0.0,PREY_WIN,2,0,84.39999999999998,0.0
10,-2.1399999999999983,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
11,-2.1299999999999986,350,0.0,PREY_WIN,2,0,83.91999999999996,0.0
12,-2.2199999999999966,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
13,-2.2199999999999966,350,0.0,PREY_WIN,2,0,81.77499999999988,0.0
14,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.53499999999998,0.0
15,-2.3199999999999945,350,0.0,PREY_WIN,2,0,84.05499999999996,0.0
16,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.80499999999999,0.0
17,-2.249999999999996,350,0.0,PREY_WIN,2,0,83.87499999999996,0.0
18,-2.3199999999999945,350,0.0,PREY_WIN,2,0,85.0,0.0
19,-2.249999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
20,23.799166666666665,215,0.0,PREDATOR_WIN,1,1,70.0,26.53250000000025
21,-2.3099999999999947,350,0.0,PREY_WIN,2,0,84.12999999999997,0.0
22,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.94,0.0
23,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.865,0.0
24,-2.2299999999999964,350,0.0,PREY_WIN,2,0,84.45999999999998,0.0
25,-2.1399999999999983,350,0.0,PREY_WIN,2,0,85.0,0.0
26,-2.339999999999994,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
27,-2.259999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
28,-2.1699999999999977,350,0.0,PREY_WIN,2,0,84.865,0.0
29,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
30,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.80499999999999,0.0
31,-2.159999999999998,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
32,-2.289999999999995,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
33,-2.259999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
34,-2.159999999999998,350,0.0,PREY_WIN,2,0,82.92999999999992,0.0
35,-2.3299999999999943,350,0.0,PREY_WIN,2,0,84.32499999999997,0.0
36,-2.199999999999997,350,0.0,PREY_WIN,2,0,84.60999999999999,0.0
37,-2.389999999999993,350,0.0,PREY_WIN,2,0,84.865,0.0
38,-2.1699999999999977,350,0.0,PREY_WIN,2,0,84.865,0.0
39,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
40,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.94,0.0
41,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.865,0.0
42,14.856666666666586,350,0.0,PREY_WIN,1,0,98.52999999999994,0.0
43,-2.2199999999999966,350,0.0,PREY_WIN,2,0,83.87499999999996,0.0
44,-2.289999999999995,350,0.0,PREY_WIN,2,0,84.865,0.0
45,-2.2299999999999964,350,0.0,PREY_WIN,2,0,84.865,0.0
46,-2.209999999999997,350,0.0,PREY_WIN,2,0,85.0,0.0
47,-2.1399999999999983,350,0.0,PREY_WIN,2,0,84.94,0.0
48,-2.199999999999997,350,0.0,PREY_WIN,2,0,84.53499999999998,0.0
49,-2.1299999999999986,350,0.0,PREY_WIN,2,0,85.0,0.0
50,-2.289999999999995,350,0.0,PREY_WIN,2,0,84.865,0.0
51,-2.489999999999991,350,0.0,PREY_WIN,2,0,85.0,0.0
52,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.865,0.0
53,23.981666666666648,163,0.0,PREDATOR_WIN,1,1,70.0,46.83500000000025
54,-2.159999999999998,350,0.0,PREY_WIN,2,0,84.45999999999998,0.0
55,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
56,-2.1399999999999983,350,0.0,PREY_WIN,2,0,84.53499999999998,0.0
57,-2.2699999999999956,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
58,-2.3299999999999943,350,0.0,PREY_WIN,2,0,85.0,0.0
59,-2.3599999999999937,350,0.0,PREY_WIN,2,0,85.0,0.0
60,-2.4599999999999915,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
