episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy
1,4.395000000000017,169,0.0,PREDATOR_WIN,1,0,70.0,0.0
2,5.895000000000019,174,0.0,PREDATOR_WIN,1,0,70.0,0.0
3,6.835000000000022,166,0.0,PREDATOR_WIN,1,0,70.0,0.0
4,4.42500000000002,169,0.0,PREDATOR_WIN,1,0,70.0,0.0
5,9.765000000000033,171,0.0,PREDATOR_WIN,1,0,70.0,0.0
6,8.265000000000024,167,0.0,PREDATOR_WIN,1,0,70.0,0.0
7,5.8750000000000195,171,0.0,PREDATOR_WIN,1,0,70.0,0.0
8,7.825000000000022,168,0.0,PREDATOR_WIN,1,0,70.0,0.0
9,8.835000000000026,172,0.0,PREDATOR_WIN,1,0,70.0,0.0
10,10.20500000000003,168,0.0,PREDATOR_WIN,1,0,70.0,0.0
