episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy,coexistence_score
1,-2.209999999999997,350,0.0,PREY_WIN,1,0,97.56999999999991,0.0,0.0
2,-2.3099999999999947,350,0.0,PREY_WIN,1,0,98.94999999999996,0.0,0.0
3,-2.259999999999996,350,0.0,PREY_WIN,1,0,96.21999999999986,0.0,0.0
4,-2.149999999999998,350,0.0,PREY_WIN,1,0,93.69999999999976,0.0,0.0
5,-2.209999999999997,350,0.0,PREY_WIN,1,0,97.59999999999991,0.0,0.0
6,-2.3199999999999945,350,0.0,PREY_WIN,1,0,95.58999999999983,0.0,0.0
7,-2.3599999999999937,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
8,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
9,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
10,-2.249999999999996,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
11,-2.3199999999999945,350,0.0,PREY_WIN,1,0,92.76999999999973,0.0,0.0
12,-2.289999999999995,350,0.0,PREY_WIN,1,0,99.88,0.0,0.0
13,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.60999999999999,0.0,0.0
14,-2.4599999999999915,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
15,-2.1199999999999988,350,0.0,PREY_WIN,1,0,96.00999999999985,0.0,0.0
16,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
17,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
18,-2.209999999999997,350,0.0,PREY_WIN,1,0,98.52999999999994,0.0,0.0
19,-2.199999999999997,350,0.0,PREY_WIN,1,0,97.4799999999999,0.0,0.0
20,-2.199999999999997,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
21,-2.199999999999997,350,0.0,PREY_WIN,1,0,98.52999999999994,0.0,0.0
22,-2.249999999999996,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
23,-2.2199999999999966,350,0.0,PREY_WIN,1,0,97.83999999999992,0.0,0.0
24,-2.149999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
25,-2.239999999999996,350,0.0,PREY_WIN,1,0,98.52999999999994,0.0,0.0
26,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
27,-2.439999999999992,350,0.0,PREY_WIN,1,0,98.13999999999993,0.0,0.0
28,-2.199999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
29,-2.2199999999999966,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
30,-2.149999999999998,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
31,-2.1399999999999983,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
32,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
33,-2.3199999999999945,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
34,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
35,-2.1699999999999977,350,0.0,PREY_WIN,1,0,97.98999999999992,0.0,0.0
36,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
37,-2.339999999999994,350,0.0,PREY_WIN,1,0,98.64999999999995,0.0,0.0
38,-2.3599999999999937,350,0.0,PREY_WIN,1,0,97.71999999999991,0.0,0.0
39,-2.239999999999996,350,0.0,PREY_WIN,1,0,98.25999999999993,0.0,0.0
40,31.117499999999982,41,0.0,PREDATOR_WIN,0,1,0.0,94.1074999999999,0.0
41,-2.289999999999995,350,0.0,PREY_WIN,1,0,98.79999999999995,0.0,0.0
42,-2.1899999999999973,350,0.0,PREY_WIN,1,0,97.83999999999992,0.0,0.0
43,-2.4599999999999915,350,0.0,PREY_WIN,1,0,97.3299999999999,0.0,0.0
44,-2.52999999999999,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
45,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
46,-2.259999999999996,350,0.0,PREY_WIN,1,0,98.13999999999993,0.0,0.0
47,-2.249999999999996,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
48,29.742499999999982,189,0.0,PREDATOR_WIN,0,1,0.0,35.952500000000214,0.0
49,-2.199999999999997,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
50,-2.239999999999996,350,0.0,PREY_WIN,1,0,98.64999999999995,0.0,0.0
51,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
52,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
53,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
54,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
55,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.33999999999997,0.0,0.0
56,-2.249999999999996,350,0.0,PREY_WIN,1,0,98.37999999999994,0.0,0.0
57,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
58,-2.199999999999997,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
59,-2.249999999999996,350,0.0,PREY_WIN,1,0,97.86999999999992,0.0,0.0
60,-2.1699999999999977,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
61,-2.289999999999995,350,0.0,PREY_WIN,1,0,99.60999999999999,0.0,0.0
62,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
63,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
64,-2.1699999999999977,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
65,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
66,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
67,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
68,-2.339999999999994,350,0.0,PREY_WIN,1,0,99.06999999999996,0.0,0.0
69,-2.3699999999999934,350,0.0,PREY_WIN,1,0,99.60999999999999,0.0,0.0
70,-2.2699999999999956,350,0.0,PREY_WIN,1,0,98.10999999999993,0.0,0.0
71,-2.1299999999999986,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
72,-2.199999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
73,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
74,30.63749999999999,110,0.0,PREDATOR_WIN,0,1,0.0,67.73750000000014,0.0
75,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
76,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
77,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
78,29.595,227,0.0,PREDATOR_WIN,0,1,0.0,27.425000000000253,0.0
79,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
80,-2.3599999999999937,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
81,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.60999999999999,0.0,0.0
82,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
83,-2.1699999999999977,350,0.0,PREY_WIN,1,0,98.79999999999995,0.0,0.0
84,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
85,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
86,-2.4699999999999913,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
87,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
88,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
89,-2.2199999999999966,350,0.0,PREY_WIN,1,0,99.60999999999999,0.0,0.0
90,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
91,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
92,-2.249999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
93,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
94,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
95,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
96,-2.299999999999995,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
97,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.33999999999997,0.0,0.0
98,-2.1799999999999975,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
99,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
100,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.06999999999996,0.0,0.0
101,-2.239999999999996,350,0.0,PREY_WIN,1,0,98.79999999999995,0.0,0.0
102,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
103,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
104,-2.299999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
105,-2.4199999999999924,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
106,-2.209999999999997,350,0.0,PREY_WIN,1,0,98.67999999999995,0.0,0.0
107,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
108,-2.249999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
109,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
110,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
111,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
112,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
113,-2.1899999999999973,350,0.0,PREY_WIN,1,0,98.52999999999994,0.0,0.0
114,30.68749999999999,111,0.0,PREDATOR_WIN,0,1,0.0,67.07750000000017,0.0
115,-2.3799999999999932,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
116,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
117,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
118,-2.349999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
119,-2.2799999999999954,350,0.0,PREY_WIN,1,0,98.64999999999995,0.0,0.0
120,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
121,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
122,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
123,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
124,-2.299999999999995,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
125,-2.1699999999999977,350,0.0,PREY_WIN,1,0,98.52999999999994,0.0,0.0
126,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
127,-2.3299999999999943,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
128,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
129,-2.249999999999996,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
130,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
131,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
132,-2.299999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
133,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
134,-2.389999999999993,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
135,30.099999999999955,79,0.0,PREDATOR_WIN,0,1,0.0,81.7099999999999,0.0
136,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
137,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
138,-2.239999999999996,350,0.0,PREY_WIN,1,0,98.64999999999995,0.0,0.0
