episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy
1,-2.2299999999999964,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
2,-2.199999999999997,350,0.0,PREY_WIN,2,0,83.31999999999994,0.0
3,-2.389999999999993,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
4,-2.2299999999999964,350,0.0,PREY_WIN,2,0,84.865,0.0
5,14.856666666666511,350,0.0,PREY_WIN,1,0,99.33999999999997,0.0
6,-2.1899999999999973,350,0.0,PREY_WIN,2,0,83.24499999999993,0.0
7,-2.299999999999995,350,0.0,PREY_WIN,2,0,82.64499999999991,0.0
8,-2.289999999999995,350,0.0,PREY_WIN,2,0,85.0,0.0
9,-2.239999999999996,350,0.0,PREY_WIN,2,0,85.0,0.0
10,-2.3799999999999932,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
11,-2.239999999999996,350,0.0,PREY_WIN,2,0,83.18499999999993,0.0
12,-2.2299999999999964,350,0.0,PREY_WIN,2,0,82.91499999999992,0.0
13,-2.159999999999998,350,0.0,PREY_WIN,2,0,84.94,0.0
14,-2.159999999999998,350,0.0,PREY_WIN,2,0,84.865,0.0
15,-2.209999999999997,350,0.0,PREY_WIN,2,0,84.865,0.0
16,-2.1899999999999973,350,0.0,PREY_WIN,2,0,85.0,0.0
17,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
18,-2.339999999999994,350,0.0,PREY_WIN,2,0,82.2399999999999,0.0
19,-2.239999999999996,350,0.0,PREY_WIN,2,0,84.32499999999997,0.0
20,-2.2199999999999966,350,0.0,PREY_WIN,2,0,83.93499999999996,0.0
21,-2.159999999999998,350,0.0,PREY_WIN,2,0,84.39999999999998,0.0
22,-2.259999999999996,350,0.0,PREY_WIN,2,0,82.5399999999999,0.0
23,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
24,14.756666666666549,350,0.0,PREY_WIN,1,0,99.33999999999997,0.0
25,-2.299999999999995,350,0.0,PREY_WIN,2,0,84.45999999999998,0.0
26,-2.1899999999999973,350,0.0,PREY_WIN,2,0,83.72499999999995,0.0
27,-2.1699999999999977,350,0.0,PREY_WIN,2,0,85.0,0.0
28,-2.339999999999994,350,0.0,PREY_WIN,2,0,84.18999999999997,0.0
29,-2.199999999999997,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
30,-2.209999999999997,350,0.0,PREY_WIN,2,0,84.59499999999998,0.0
31,-2.209999999999997,350,0.0,PREY_WIN,2,0,84.60999999999999,0.0
32,25.336666666666655,41,0.0,PREDATOR_WIN,1,1,70.0,94.6099999999999
33,-2.2699999999999956,350,0.0,PREY_WIN,2,0,84.865,0.0
34,-2.2799999999999954,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
35,24.186666666666664,183,0.0,PREDATOR_WIN,1,1,70.0,40.340000000000245
36,-2.199999999999997,350,0.0,PREY_WIN,2,0,84.60999999999999,0.0
37,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.66999999999999,0.0
38,14.746666666666634,350,0.0,PREY_WIN,1,0,99.33999999999997,0.0
39,14.846666666666469,350,0.0,PREY_WIN,1,0,97.98999999999992,0.0
40,-2.1799999999999975,350,0.0,PREY_WIN,2,0,84.33999999999997,0.0
41,-2.1799999999999975,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
42,-2.1699999999999977,350,0.0,PREY_WIN,2,0,84.12999999999997,0.0
43,-2.3599999999999937,350,0.0,PREY_WIN,2,0,84.72999999999999,0.0
44,-2.2199999999999966,350,0.0,PREY_WIN,2,0,85.0,0.0
45,-2.1899999999999973,350,0.0,PREY_WIN,2,0,84.66999999999999,0.0
