episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy
1,-2.3799999999999932,350,0.0,PREY_WIN,1,0,100.0,0.0
2,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
3,28.809999999999995,115,0.0,PREDATOR_WIN,0,1,0.0,65.27000000000021
4,-2.809999999999984,350,0.0,PREY_WIN,1,0,100.0,0.0
5,-3.139999999999977,350,0.0,PREY_WIN,1,0,100.0,0.0
6,-2.9399999999999813,350,0.0,PREY_WIN,1,0,100.0,0.0
7,-2.4199999999999924,350,0.0,PREY_WIN,1,0,100.0,0.0
8,-2.949999999999981,350,0.0,PREY_WIN,1,0,100.0,0.0
9,29.339999999999996,65,0.0,PREDATOR_WIN,0,1,0.0,87.19999999999987
10,-2.7899999999999845,350,0.0,PREY_WIN,1,0,100.0,0.0
11,-2.5899999999999888,350,0.0,PREY_WIN,1,0,100.0,0.0
12,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
13,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
14,28.419999999999995,157,0.0,PREDATOR_WIN,0,1,0.0,59.96000000000015
15,-3.3899999999999717,350,0.0,PREY_WIN,1,0,100.0,0.0
16,-2.6899999999999866,350,0.0,PREY_WIN,1,0,100.0,0.0
17,-2.1699999999999977,350,0.0,PREY_WIN,1,0,100.0,0.0
18,-2.3799999999999932,350,0.0,PREY_WIN,1,0,100.0,0.0
19,28.529999999999994,146,0.0,PREDATOR_WIN,0,1,0.0,50.78000000000031
20,-2.3199999999999945,350,0.0,PREY_WIN,1,0,100.0,0.0
21,27.120000000000015,287,0.0,PREDATOR_WIN,0,1,0.0,28.460000000000285
22,-3.039999999999979,350,0.0,PREY_WIN,1,0,100.0,0.0
23,-2.6899999999999866,350,0.0,PREY_WIN,1,0,100.0,0.0
24,29.189999999999998,80,0.0,PREDATOR_WIN,0,1,0.0,78.80000000000003
25,28.749999999999996,124,0.0,PREDATOR_WIN,0,1,0.0,66.02000000000021
26,-2.8799999999999826,350,0.0,PREY_WIN,1,0,100.0,0.0
27,29.969999999999995,2,0.0,PREDATOR_WIN,0,1,0.0,100.0
28,-2.389999999999993,350,0.0,PREY_WIN,1,0,100.0,0.0
29,-3.3399999999999728,350,0.0,PREY_WIN,1,0,100.0,0.0
30,-2.5999999999999885,350,0.0,PREY_WIN,1,0,100.0,0.0
31,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
32,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0
33,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
34,-2.5099999999999905,350,0.0,PREY_WIN,1,0,100.0,0.0
35,-2.3699999999999934,350,0.0,PREY_WIN,1,0,100.0,0.0
36,29.939999999999998,5,0.0,PREDATOR_WIN,0,1,0.0,100.0
37,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0
38,29.279999999999998,71,0.0,PREDATOR_WIN,0,1,0.0,81.97999999999999
39,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
40,-2.5899999999999888,350,0.0,PREY_WIN,1,0,100.0,0.0
41,-3.099999999999978,350,0.0,PREY_WIN,1,0,100.0,0.0
42,-2.439999999999992,350,0.0,PREY_WIN,1,0,100.0,0.0
43,-2.4999999999999907,350,0.0,PREY_WIN,1,0,100.0,0.0
44,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
45,-2.389999999999993,350,0.0,PREY_WIN,1,0,100.0,0.0
46,-2.1699999999999977,350,0.0,PREY_WIN,1,0,100.0,0.0
47,-2.859999999999983,350,0.0,PREY_WIN,1,0,100.0,0.0
48,-2.5199999999999902,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
49,29.069999999999997,92,0.0,PREDATOR_WIN,0,1,0.0,74.96000000000011
50,-2.6099999999999883,350,0.0,PREY_WIN,1,0,100.0,0.0
51,29.439999999999998,55,0.0,PREDATOR_WIN,0,1,0.0,89.29999999999988
52,-3.1099999999999777,350,0.0,PREY_WIN,1,0,100.0,0.0
53,29.869999999999997,12,0.0,PREDATOR_WIN,0,1,0.0,100.0
54,-3.1099999999999777,350,0.0,PREY_WIN,1,0,100.0,0.0
55,29.949999999999996,4,0.0,PREDATOR_WIN,0,1,0.0,100.0
56,-2.6399999999999877,350,0.0,PREY_WIN,1,0,100.0,0.0
57,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0
58,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
59,-2.2199999999999966,350,0.0,PREY_WIN,1,0,100.0,0.0
60,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0
61,-2.3199999999999945,350,0.0,PREY_WIN,1,0,100.0,0.0
62,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
63,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
64,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
65,-2.479999999999991,350,0.0,PREY_WIN,1,0,100.0,0.0
66,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
67,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
68,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
69,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0
70,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0
71,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
72,29.919999999999998,7,0.0,PREDATOR_WIN,0,1,0.0,100.0
73,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
74,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0
75,29.889999999999997,10,0.0,PREDATOR_WIN,0,1,0.0,100.0
76,28.959999999999997,103,0.0,PREDATOR_WIN,0,1,0.0,77.53999999999994
77,-2.8899999999999824,350,0.0,PREY_WIN,1,0,100.0,0.0
78,-2.859999999999983,350,0.0,PREY_WIN,1,0,100.0,0.0
79,-2.619999999999988,350,0.0,PREY_WIN,1,0,100.0,0.0
80,-2.489999999999991,350,0.0,PREY_WIN,1,0,100.0,0.0
81,-2.8399999999999834,350,0.0,PREY_WIN,1,0,100.0,0.0
82,-2.3199999999999945,350,0.0,PREY_WIN,1,0,100.0,0.0
83,-2.7499999999999853,350,0.0,PREY_WIN,1,0,100.0,0.0
84,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
85,-2.5899999999999888,350,0.0,PREY_WIN,1,0,100.0,0.0
86,-2.149999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0
87,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
88,-2.4599999999999915,350,0.0,PREY_WIN,1,0,100.0,0.0
89,-2.149999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0
90,29.632499999999993,29,0.0,PREDATOR_WIN,0,1,0.0,98.05249999999995
91,-3.1299999999999772,350,0.0,PREY_WIN,1,0,100.0,0.0
92,-2.4599999999999915,350,0.0,PREY_WIN,1,0,100.0,0.0
93,29.79499999999999,6,0.0,PREDATOR_WIN,0,1,0.0,100.0
94,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0
95,29.489999999999995,50,0.0,PREDATOR_WIN,0,1,0.0,94.69999999999986
96,-2.9299999999999815,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
97,-3.00999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0
98,-2.6099999999999883,350,0.0,PREY_WIN,1,0,100.0,0.0
99,-2.159999999999998,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
100,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0
101,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
102,29.819999999999997,17,0.0,PREDATOR_WIN,0,1,0.0,100.0
103,-2.389999999999993,350,0.0,PREY_WIN,1,0,100.0,0.0
104,27.83,216,0.0,PREDATOR_WIN,0,1,0.0,38.78000000000008
105,-2.6099999999999883,350,0.0,PREY_WIN,1,0,100.0,0.0
106,-3.2199999999999753,350,0.0,PREY_WIN,1,0,100.0,0.0
107,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0
108,-2.489999999999991,350,0.0,PREY_WIN,1,0,100.0,0.0
109,-2.8799999999999826,350,0.0,PREY_WIN,1,0,100.0,0.0
110,-2.4599999999999915,350,0.0,PREY_WIN,1,0,100.0,0.0
111,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
112,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
113,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0
114,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
115,29.879999999999995,11,0.0,PREDATOR_WIN,0,1,0.0,100.0
116,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
117,-2.53999999999999,350,0.0,PREY_WIN,1,0,100.0,0.0
118,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
119,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
120,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0
121,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0
122,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
123,29.592499999999994,33,0.0,PREDATOR_WIN,0,1,0.0,97.27249999999992
124,-2.669999999999987,350,0.0,PREY_WIN,1,0,100.0,0.0
125,-2.909999999999982,350,0.0,PREY_WIN,1,0,100.0,0.0
126,-3.00999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0
127,-2.709999999999986,350,0.0,PREY_WIN,1,0,100.0,0.0
128,-2.2199999999999966,350,0.0,PREY_WIN,1,0,100.0,0.0
129,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
130,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
131,-2.4099999999999926,350,0.0,PREY_WIN,1,0,100.0,0.0
132,-2.429999999999992,350,0.0,PREY_WIN,1,0,100.0,0.0
133,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
134,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
135,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
136,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
137,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
138,-2.299999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
139,-2.5099999999999905,350,0.0,PREY_WIN,1,0,100.0,0.0
140,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
141,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
142,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0
143,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
144,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0
145,-2.3299999999999943,350,0.0,PREY_WIN,1,0,100.0,0.0
146,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
147,-2.199999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
148,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
149,27.660000000000004,233,0.0,PREDATOR_WIN,0,1,0.0,26.54000000000019
150,27.832499999999996,209,0.0,PREDATOR_WIN,0,1,0.0,30.552500000000222
151,-3.3899999999999717,350,0.0,PREY_WIN,1,0,100.0,0.0
152,-3.4999999999999694,350,0.0,PREY_WIN,1,1,100.0,0.7000000000003813
153,-2.759999999999985,350,0.0,PREY_WIN,1,0,100.0,0.0
154,28.219999999999995,177,0.0,PREDATOR_WIN,0,1,0.0,59.36000000000035
155,-2.6999999999999864,350,0.0,PREY_WIN,1,0,100.0,0.0
156,-3.4499999999999704,350,0.0,PREY_WIN,1,0,100.0,0.0
157,-2.5099999999999905,350,0.0,PREY_WIN,1,0,100.0,0.0
158,-2.389999999999993,350,0.0,PREY_WIN,1,0,100.0,0.0
159,-2.6099999999999883,350,0.0,PREY_WIN,1,0,100.0,0.0
160,-2.99999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0
161,-2.6499999999999875,350,0.0,PREY_WIN,1,0,100.0,0.0
162,-2.4499999999999917,350,0.0,PREY_WIN,1,0,100.0,0.0
163,-2.349999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0
164,29.909999999999997,8,0.0,PREDATOR_WIN,0,1,0.0,100.0
165,-2.8399999999999834,350,0.0,PREY_WIN,1,0,100.0,0.0
166,-2.6099999999999883,350,0.0,PREY_WIN,1,0,100.0,0.0
167,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0
168,-2.4999999999999907,350,0.0,PREY_WIN,1,0,100.0,0.0
169,28.909999999999997,108,0.0,PREDATOR_WIN,0,1,0.0,69.14000000000013
170,28.889999999999997,110,0.0,PREDATOR_WIN,0,1,0.0,79.09999999999985
171,-2.7499999999999853,350,0.0,PREY_WIN,1,0,100.0,0.0
172,29.562499999999993,36,0.0,PREDATOR_WIN,0,1,0.0,97.5124999999999
173,-3.189999999999976,350,0.0,PREY_WIN,1,0,100.0,0.0
174,28.179999999999996,181,0.0,PREDATOR_WIN,0,1,0.0,74.4799999999997
175,-2.8299999999999836,350,0.0,PREY_WIN,1,0,100.0,0.0
176,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0
177,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
178,-2.9699999999999807,350,0.0,PREY_WIN,1,0,100.0,0.0
179,-2.5099999999999905,350,0.0,PREY_WIN,1,0,100.0,0.0
180,-2.1399999999999983,350,0.0,PREY_WIN,1,0,100.0,0.0
181,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
182,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0
183,-2.4599999999999915,350,0.0,PREY_WIN,1,0,100.0,0.0
184,28.989999999999995,100,0.0,PREDATOR_WIN,0,1,0.0,73.40000000000006
185,-2.7899999999999845,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0
186,28.479999999999997,151,0.0,PREDATOR_WIN,0,1,0.0,67.28000000000013
187,-3.1999999999999758,350,0.0,PREY_WIN,1,0,100.0,0.0
188,-3.2599999999999745,350,0.0,PREY_WIN,1,0,100.0,0.0
189,-2.8299999999999836,350,0.0,PREY_WIN,1,0,100.0,0.0
190,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0
191,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
192,-2.4099999999999926,350,0.0,PREY_WIN,1,0,100.0,0.0
193,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0
194,-2.1699999999999977,350,0.0,PREY_WIN,1,0,100.0,0.0
195,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0
196,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0
