cycle,phase,agent_type,episode,reward,steps,eval_reward,prey_population,predator_population,avg_prey_energy,avg_predator_energy
1,A,PREY,1,772.500000000002,250,9760.499999999958,1,0,95.34999999999998,0.0
1,A,PREY,2,971.000000000002,250,9760.499999999958,1,0,100.0,0.0
1,A,PREY,3,971.000000000002,250,9760.499999999958,1,0,99.1,0.0
1,A,PREY,4,1050.5000000000018,250,9760.499999999958,1,0,99.1,0.0
1,A,PREY,5,1131.0000000000018,250,9760.499999999958,1,0,99.55,0.0
1,A,PREY,6,1171.0000000000018,250,9760.499999999958,1,0,100.0,0.0
1,A,PREY,7,1211.000000000002,250,9760.499999999958,1,0,100.0,0.0
1,A,PREY,8,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
1,A,PREY,9,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
1,A,PREY,10,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
1,A,PREY,11,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
1,A,PREY,12,1210.500000000002,250,9760.499999999958,1,0,99.55,0.0
1,A,PREY,13,1249.500000000002,250,9760.499999999958,1,0,99.55,0.0
1,A,PREY,14,1369.500000000002,250,9760.499999999958,1,0,99.55,0.0
1,A,PREY,15,1409.500000000002,250,9760.499999999958,1,0,99.55,0.0
1,B,PREDATOR,1,35.40416666666674,250,113.99999999999957,5,1,100.0,8.937500000000348
1,B,PREDATOR,2,-2.609999999999963,211,113.99999999999957,6,1,100.0,0.5500000000002091
1,B,PREDATOR,3,36.90416666666677,250,113.99999999999957,5,1,100.0,9.087500000000272
1,B,PREDATOR,4,-0.6199999999999637,212,113.99999999999957,6,0,100.0,0.0
1,B,PREDATOR,5,-0.6199999999999637,212,113.99999999999957,6,0,100.0,0.0
1,B,PREDATOR,6,37.40416666666678,250,113.99999999999957,5,1,100.0,9.387500000000275
1,B,PREDATOR,7,37.491666666666696,250,113.99999999999957,5,1,100.0,9.12500000000049
1,B,PREDATOR,8,1.3700000000000383,213,113.99999999999957,6,0,100.0,0.0
1,B,PREDATOR,9,41.29166666666682,250,113.99999999999957,5,1,100.0,10.325000000000285
1,B,PREDATOR,10,1.8700000000000383,213,113.99999999999957,6,0,100.0,0.0
1,B,PREDATOR,11,38.91666666666681,250,113.99999999999957,5,1,100.0,8.300000000000331
1,B,PREDATOR,12,2.3700000000000383,213,113.99999999999957,6,0,99.95,0.0
1,B,PREDATOR,13,3.8600000000000385,214,113.99999999999957,6,0,100.0,0.0
1,B,PREDATOR,14,4.350000000000039,215,113.99999999999957,6,0,99.95,0.0
1,B,PREDATOR,15,4.840000000000039,216,113.99999999999957,6,0,100.0,0.0
2,A,PREY,1,772.500000000002,250,9760.499999999958,1,0,95.34999999999998,0.0
2,A,PREY,2,971.000000000002,250,9760.499999999958,1,0,100.0,0.0
2,A,PREY,3,971.000000000002,250,9760.499999999958,1,0,99.1,0.0
2,A,PREY,4,1050.5000000000018,250,9760.499999999958,1,0,99.1,0.0
2,A,PREY,5,1131.0000000000018,250,9760.499999999958,1,0,99.55,0.0
2,A,PREY,6,1171.0000000000018,250,9760.499999999958,1,0,100.0,0.0
2,A,PREY,7,1211.000000000002,250,9760.499999999958,1,0,100.0,0.0
2,A,PREY,8,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
2,A,PREY,9,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
2,A,PREY,10,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
2,A,PREY,11,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
2,A,PREY,12,1210.500000000002,250,9760.499999999958,1,0,99.55,0.0
2,A,PREY,13,1249.500000000002,250,9760.499999999958,1,0,99.55,0.0
2,A,PREY,14,1369.500000000002,250,9760.499999999958,1,0,99.55,0.0
2,A,PREY,15,1409.500000000002,250,9760.499999999958,1,0,99.55,0.0
2,B,PREDATOR,1,-2.109999999999963,211,113.99999999999957,6,1,100.0,1.3000000000002179
2,B,PREDATOR,2,35.40416666666674,250,113.99999999999957,5,1,100.0,8.937500000000346
2,B,PREDATOR,3,-1.1199999999999637,212,113.99999999999957,6,1,100.0,0.7000000000002088
2,B,PREDATOR,4,37.40416666666678,250,113.99999999999957,5,1,100.0,9.387500000000275
2,B,PREDATOR,5,37.51666666666682,250,113.99999999999957,5,1,100.0,9.500000000000274
2,B,PREDATOR,6,37.32916666666677,250,113.99999999999957,5,1,100.0,9.312500000000268
2,B,PREDATOR,7,37.491666666666696,250,113.99999999999957,5,1,100.0,9.12500000000049
2,B,PREDATOR,8,39.604166666666906,250,113.99999999999957,5,1,100.0,9.987500000000482
2,B,PREDATOR,9,2.8600000000000385,214,113.99999999999957,6,0,100.0,0.0
2,B,PREDATOR,10,2.8600000000000385,214,113.99999999999957,6,0,100.0,0.0
2,B,PREDATOR,11,2.3600000000000385,214,113.99999999999957,6,0,100.0,0.0
2,B,PREDATOR,12,3.3600000000000385,214,113.99999999999957,6,0,100.0,0.0
2,B,PREDATOR,13,4.850000000000039,215,113.99999999999957,6,0,100.0,0.0
2,B,PREDATOR,14,40.62916666666684,250,113.99999999999957,5,1,100.0,9.16250000000035
2,B,PREDATOR,15,5.340000000000039,216,113.99999999999957,6,0,100.0,0.0
