episode,reward,steps,eval_reward,prey_population,predator_population,avg_prey_energy,avg_predator_energy
1,-0.5899999999999697,209,105.99999999999947,0,0,0.0,0.0
2,-0.5999999999999712,210,105.99999999999947,0,0,0.0,0.0
3,-0.5999999999999712,210,105.99999999999947,0,0,0.0,0.0
4,-0.0999999999999659,210,105.99999999999947,0,0,0.0,0.0
5,1.8800000000000345,212,105.99999999999947,0,0,0.0,0.0
6,2.3800000000000345,212,105.99999999999947,0,0,0.0,0.0
7,2.37000000000004,213,105.99999999999947,0,0,0.0,0.0
8,4.8500000000000405,215,105.99999999999947,0,0,0.0,0.0
9,3.8500000000000405,215,105.99999999999947,0,0,0.0,0.0
10,3.3600000000000403,214,105.99999999999947,0,0,0.0,0.0
11,3.3600000000000403,214,105.99999999999947,0,0,0.0,0.0
12,3.8400000000000407,216,105.99999999999947,0,0,0.0,0.0
13,4.340000000000041,216,105.99999999999947,0,0,0.0,0.0
14,4.340000000000041,216,105.99999999999947,0,0,0.0,0.0
15,4.340000000000041,216,105.99999999999947,0,0,0.0,0.0
16,4.8500000000000405,215,105.99999999999947,0,0,0.0,0.0
17,4.8500000000000405,215,105.99999999999947,0,0,0.0,0.0
18,7.350000000000003,215,105.99999999999947,0,0,0.0,0.0
19,8.83999999999998,216,105.99999999999947,0,0,0.0,0.0
20,6.859999999999976,214,105.99999999999947,0,0,0.0,0.0
