episode,reward,steps,eval_reward,prey_population,predator_population,avg_prey_energy,avg_predator_energy
1,772.500000000002,250,9760.499999999958,1,0,95.34999999999998,0.0
2,971.000000000002,250,9760.499999999958,1,0,100.0,0.0
3,971.000000000002,250,9760.499999999958,1,0,99.1,0.0
4,1050.5000000000018,250,9760.499999999958,1,0,99.1,0.0
5,1131.0000000000018,250,9760.499999999958,1,0,99.55,0.0
6,1171.0000000000018,250,9760.499999999958,1,0,100.0,0.0
7,1211.000000000002,250,9760.499999999958,1,0,100.0,0.0
8,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
9,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
10,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
11,1251.000000000002,250,9760.499999999958,1,0,93.1,0.0
12,1210.500000000002,250,9760.499999999958,1,0,99.55,0.0
13,1249.500000000002,250,9760.499999999958,1,0,99.55,0.0
14,1369.500000000002,250,9760.499999999958,1,0,99.55,0.0
15,1409.500000000002,250,9760.499999999958,1,0,99.55,0.0
16,1449.500000000002,250,9760.499999999958,1,0,99.55,0.0
17,1449.500000000002,250,9760.499999999958,1,0,99.55,0.0
18,1690.000000000002,250,9760.499999999958,1,0,99.1,0.0
19,1889.500000000002,250,9760.499999999958,1,0,99.1,0.0
20,1930.000000000002,250,9760.499999999958,1,0,99.1,0.0
