step,reward,cumulative_reward,main_agent_energy,main_agent_thirst,main_agent_can_reproduce,main_agent_water_nearby,prey_population,predator_population,total_alive,avg_prey_energy,avg_predator_energy,min_prey_energy,max_prey_energy,min_predator_energy,max_predator_energy,cumulative_prey_births,cumulative_predator_births,cumulative_predation_events,cumulative_prey_deaths,cumulative_predator_deaths,cumulative_prey_reward,cumulative_predator_reward
1,39.980000000000004,39.980000000000004,100.0,99.5,0,1,7,2,9,95.64999999999999,84.55,69.55,100.0,84.55,84.55,0,0,0,0,0,239.87000000000006,-0.02
2,-0.01,39.970000000000006,99.55,99.0,0,1,7,2,9,99.61428571428571,84.1,99.55,100.0,84.1,84.1,0,0,0,0,0,279.79,-0.04
3,-0.01,39.96000000000001,99.1,98.5,0,1,7,2,9,99.16428571428571,83.64999999999999,99.1,99.55,83.64999999999999,83.64999999999999,0,0,0,0,0,279.72,-0.06
4,-0.01,39.95000000000001,98.64999999999999,98.0,0,1,7,2,9,98.71428571428571,83.19999999999999,98.64999999999999,99.1,83.19999999999999,83.19999999999999,0,0,0,0,0,279.6500000000001,-0.08
5,-0.01,39.94000000000001,98.19999999999999,97.5,0,1,7,2,9,98.2642857142857,82.74999999999999,98.19999999999999,98.64999999999999,82.74999999999999,82.74999999999999,0,0,0,0,0,279.58000000000004,-0.1
6,-0.01,39.930000000000014,97.74999999999999,97.0,0,1,7,2,9,97.81428571428569,82.29999999999998,97.74999999999999,98.19999999999999,82.29999999999998,82.29999999999998,0,0,0,0,0,279.5100000000001,-0.12000000000000001
7,-0.01,39.920000000000016,97.29999999999998,96.5,0,1,7,2,9,97.36428571428569,81.92499999999998,97.29999999999998,97.74999999999999,81.84999999999998,81.99999999999999,0,0,0,0,0,279.4400000000001,-0.14
8,-0.01,39.91000000000002,96.84999999999998,96.0,0,1,7,2,9,96.9142857142857,81.54999999999998,96.84999999999998,97.29999999999998,81.39999999999998,81.69999999999999,0,0,0,0,0,279.3700000000001,-0.16
9,-0.01,39.90000000000002,96.39999999999998,95.5,0,1,7,2,9,96.4642857142857,81.17499999999998,96.39999999999998,96.84999999999998,80.94999999999997,81.39999999999999,0,0,0,0,0,279.3000000000002,-0.18
10,-0.01,39.89000000000002,95.94999999999997,95.0,0,1,7,2,9,96.01428571428569,80.79999999999998,95.94999999999997,96.39999999999998,80.49999999999997,81.1,0,0,0,0,0,279.23000000000013,-0.19999999999999998
11,-0.01,39.880000000000024,95.49999999999997,94.5,0,1,7,2,9,95.56428571428569,80.42499999999998,95.49999999999997,95.94999999999997,80.04999999999997,80.8,0,0,0,0,0,279.1600000000002,-0.21999999999999997
12,-0.01,39.870000000000026,95.04999999999997,94.0,0,1,7,2,9,95.13571428571426,80.04999999999998,95.04999999999997,95.49999999999997,79.59999999999997,80.5,0,0,0,0,0,279.0900000000002,-0.23999999999999996
13,-0.01,39.86000000000003,94.59999999999997,93.5,0,1,7,2,9,94.70714285714283,79.74999999999999,94.59999999999997,95.04999999999997,79.29999999999997,80.2,0,0,0,0,0,279.02000000000015,0.23
14,-0.01,39.85000000000003,94.14999999999996,93.0,0,1,7,2,9,94.2785714285714,79.44999999999999,94.14999999999996,94.59999999999998,78.99999999999997,79.9,0,0,0,0,0,278.9500000000002,0.7
15,-0.01,39.84000000000003,93.69999999999996,92.5,0,1,7,2,9,93.84999999999995,79.14999999999999,93.69999999999996,94.29999999999998,78.69999999999997,79.60000000000001,0,0,0,0,0,278.8800000000002,1.6599999999999997
16,-0.01,39.830000000000034,93.24999999999996,92.0,0,1,7,2,9,94.38571428571424,78.85,93.24999999999996,100.0,78.39999999999998,79.30000000000001,0,0,0,0,0,318.80000000000024,2.6199999999999997
17,-0.01,39.820000000000036,92.79999999999995,91.5,0,1,7,2,9,93.95714285714283,78.55,92.79999999999995,99.55,78.09999999999998,79.00000000000001,0,0,0,0,0,318.73000000000025,3.5799999999999996
18,-0.01,39.81000000000004,92.34999999999995,91.0,0,1,7,2,9,93.52857142857138,78.25,92.34999999999995,99.1,77.79999999999998,78.70000000000002,0,0,0,0,0,318.66000000000025,4.539999999999999
19,-0.01,39.80000000000004,91.89999999999995,90.5,0,1,7,2,9,93.09999999999995,77.95,91.89999999999995,98.64999999999999,77.49999999999999,78.40000000000002,0,0,0,0,0,318.59000000000026,5.5
20,-0.01,39.79000000000004,91.44999999999995,90.0,0,1,7,2,9,92.67142857142854,77.65,91.44999999999995,98.19999999999999,77.19999999999999,78.10000000000002,0,0,0,0,0,318.52000000000027,6.459999999999999
21,-0.01,39.780000000000044,90.99999999999994,89.5,0,1,7,2,9,92.2428571428571,77.35000000000001,90.99999999999994,97.74999999999999,76.89999999999999,77.80000000000003,0,0,0,0,0,318.4500000000002,7.419999999999999
22,-0.01,39.770000000000046,90.54999999999994,89.0,0,1,7,2,9,91.81428571428566,77.05000000000001,90.54999999999994,97.29999999999998,76.6,77.50000000000003,0,0,0,0,0,318.3800000000003,8.379999999999999
23,-0.01,39.76000000000005,90.09999999999994,88.5,0,1,7,2,9,91.38571428571424,76.75000000000001,90.09999999999994,96.84999999999998,76.3,77.20000000000003,0,0,0,0,0,318.3100000000003,9.34
24,-0.01,39.75000000000005,89.64999999999993,88.0,0,1,7,2,9,90.9571428571428,76.45000000000002,89.64999999999993,96.39999999999998,76.0,76.90000000000003,0,0,0,0,0,318.2400000000003,10.3
25,-0.01,39.74000000000005,89.19999999999993,87.5,0,1,7,2,9,90.52857142857138,76.15000000000002,89.19999999999993,95.94999999999997,75.7,76.60000000000004,0,0,0,0,0,318.17000000000036,11.260000000000002
26,-0.01,39.730000000000054,88.74999999999993,87.0,0,1,7,2,9,90.09999999999994,75.85000000000002,88.74999999999993,95.49999999999997,75.4,76.30000000000004,0,0,0,0,0,318.1000000000003,12.220000000000002
27,-0.01,39.720000000000056,88.29999999999993,86.5,0,1,7,2,9,89.6714285714285,75.55000000000003,88.29999999999993,95.04999999999997,75.10000000000001,76.00000000000004,0,0,0,0,0,318.0300000000003,13.180000000000003
28,-0.01,39.71000000000006,87.84999999999992,86.0,0,1,7,2,9,89.24285714285709,75.25000000000003,87.84999999999992,94.59999999999997,74.80000000000001,75.70000000000005,0,0,0,0,0,317.9600000000003,14.140000000000004
29,39.980000000000004,79.69000000000005,100.0,85.5,0,1,7,2,9,90.61428571428566,74.95000000000003,87.39999999999992,100.0,74.50000000000001,75.40000000000005,0,0,0,0,0,357.88000000000034,15.100000000000005
30,-0.01,79.68000000000005,99.55,85.0,0,1,7,2,9,90.18571428571424,74.65000000000003,86.94999999999992,99.55,74.20000000000002,75.10000000000005,0,0,0,0,0,357.8100000000003,16.060000000000006
31,-0.01,79.67000000000004,99.1,84.5,0,1,7,2,9,89.7571428571428,74.27500000000003,86.49999999999991,99.1,73.90000000000002,74.65000000000005,0,0,0,0,0,357.74000000000035,16.53000000000001
32,-0.01,79.66000000000004,98.64999999999999,84.0,0,1,7,2,9,89.3071428571428,73.97500000000004,86.04999999999991,98.64999999999999,73.60000000000002,74.35000000000005,0,0,0,0,0,357.67000000000036,17.49000000000001
33,-0.01,79.65000000000003,98.19999999999999,83.5,0,1,7,2,9,88.8571428571428,73.67500000000004,85.59999999999991,98.19999999999999,73.30000000000003,74.05000000000005,0,0,0,0,0,357.60000000000036,18.45000000000001
