episode,mean_prey_reward,mean_predator_reward,prey_population_end,predator_population_end,average_prey_energy,average_predator_energy,epsilon,episode_reward,episode_steps
1,0.0,-2.339999999999994,6,0,6.8200000000002845,0.0,0.995,-12.339999999999995,234
2,0.0,-2.339999999999994,6,0,6.8200000000002845,0.0,0.990025,-12.339999999999995,234
3,0.0,-2.339999999999994,6,0,6.8200000000002845,0.0,0.985074875,-12.339999999999995,234
4,0.0,-2.339999999999994,6,0,6.8200000000002845,0.0,0.9801495006250001,-12.339999999999995,234
5,0.0,-2.3299999999999943,6,0,7.090000000000285,0.0,0.9752487531218751,-12.329999999999995,233
6,0.0,-2.3299999999999943,6,0,7.090000000000285,0.0,0.9703725093562657,-12.329999999999995,233
7,0.0,-2.289999999999995,6,0,8.195000000000286,0.0,0.9655206468094844,-12.289999999999996,229
8,0.0,-2.249999999999996,6,0,9.375000000000284,0.0,0.960693043575437,-12.249999999999996,225
9,0.0,-2.249999999999996,6,0,9.375000000000284,0.0,0.9558895783575597,-12.249999999999996,225
10,0.0,-2.239999999999996,6,0,9.645000000000286,0.0,0.9511101304657719,-12.239999999999997,224
11,0.0,-2.2199999999999966,6,0,10.185000000000285,0.0,0.946354579813443,-12.219999999999997,222
12,0.0,-2.199999999999997,6,0,10.725000000000284,0.0,0.9416228069143757,-12.199999999999998,220
13,0.0,-2.199999999999997,6,0,10.725000000000284,0.0,0.9369146928798039,-12.199999999999998,220
14,0.0,2.1633333333334095,5,0,6.550000000000284,0.0,0.9322301194154049,-7.8366666666665905,235
15,0.0,-2.209999999999997,6,0,10.455000000000283,0.0,0.9275689688183278,-12.209999999999997,221
16,0.0,-2.209999999999997,6,0,10.480000000000283,0.0,0.9229311239742362,-12.209999999999997,221
17,0.0,-2.209999999999997,6,0,10.430000000000282,0.0,0.918316468354365,-12.209999999999997,221
18,0.0,-2.3099999999999947,6,0,7.630000000000286,0.0,0.9137248860125932,-12.309999999999995,231
19,0.0,-2.2199999999999966,6,0,10.085000000000283,0.0,0.9091562615825302,-12.219999999999997,222
20,0.0,8.390833333333386,5,0,1.1500000000002797,0.0,0.9046104802746175,-1.6091666666666136,255
