episode,mean_prey_reward,mean_predator_reward,prey_population_end,predator_population_end,average_prey_energy,average_predator_energy,epsilon,episode_reward,episode_steps
1,110.35714285714315,0.0,1,0,95.34999999999998,0.0,0.995,772.500000000002,250
2,138.714285714286,0.0,1,0,100.0,0.0,0.990025,971.000000000002,250
3,138.714285714286,0.0,1,0,99.1,0.0,0.985074875,971.000000000002,250
4,150.07142857142884,0.0,1,0,99.1,0.0,0.9801495006250001,1050.5000000000018,250
5,161.57142857142884,0.0,1,0,99.55,0.0,0.9752487531218751,1131.0000000000018,250
6,167.28571428571453,0.0,1,0,100.0,0.0,0.9703725093562657,1171.0000000000018,250
7,173.00000000000028,0.0,1,0,100.0,0.0,0.9655206468094844,1211.000000000002,250
8,178.714285714286,0.0,1,0,93.1,0.0,0.960693043575437,1251.000000000002,250
9,178.714285714286,0.0,1,0,93.1,0.0,0.9558895783575597,1251.000000000002,250
10,178.714285714286,0.0,1,0,93.1,0.0,0.9511101304657719,1251.000000000002,250
11,178.714285714286,0.0,1,0,93.1,0.0,0.946354579813443,1251.000000000002,250
12,172.92857142857173,0.0,1,0,99.55,0.0,0.9416228069143757,1210.500000000002,250
13,178.50000000000028,0.0,1,0,99.55,0.0,0.9369146928798039,1249.500000000002,250
14,195.64285714285742,0.0,1,0,99.55,0.0,0.9322301194154049,1369.500000000002,250
15,201.35714285714315,0.0,1,0,99.55,0.0,0.9275689688183278,1409.500000000002,250
16,207.07142857142887,0.0,1,0,99.55,0.0,0.9229311239742362,1449.500000000002,250
17,207.07142857142887,0.0,1,0,99.55,0.0,0.918316468354365,1449.500000000002,250
18,241.42857142857173,0.0,1,0,99.1,0.0,0.9137248860125932,1690.000000000002,250
19,269.92857142857173,0.0,1,0,99.1,0.0,0.9091562615825302,1889.500000000002,250
20,275.714285714286,0.0,1,0,99.1,0.0,0.9046104802746175,1930.000000000002,250
21,287.214285714286,0.0,1,0,99.1,0.0,0.9000874278732445,2010.500000000002,250
22,292.85714285714306,0.0,1,0,99.1,0.0,0.8955869907338783,2050.0000000000014,250
23,298.42857142857144,0.0,1,0,99.55,0.0,0.8911090557802088,2089.0,250
24,304.1428571428569,0.0,1,0,99.55,0.0,0.8866535105013078,2128.999999999998,250
25,304.1428571428569,0.0,1,0,99.55,0.0,0.8822202429488013,2128.999999999998,250
26,304.1428571428569,0.0,1,0,99.55,0.0,0.8778091417340573,2128.999999999998,250
