episode,mean_prey_reward,mean_predator_reward,prey_population_end,predator_population_end,average_prey_energy,average_predator_energy,epsilon,episode_reward,episode_steps
1,832.2600000000023,0.0,1,0,97.3299999999999,0.0,0.995,1664.5200000000045,500
2,932.2350000000023,0.0,1,0,97.86999999999992,0.0,0.990025,1864.4700000000046,500
3,952.2300000000023,0.0,1,0,97.86999999999992,0.0,0.985074875,1904.4600000000046,500
4,972.2250000000023,0.0,1,0,98.13999999999993,0.0,0.9801495006250001,1944.4500000000046,500
5,1052.2050000000006,0.0,1,0,98.40999999999994,0.0,0.9752487531218751,2104.410000000001,500
6,1072.2000000000005,0.0,1,0,98.67999999999995,0.0,0.9703725093562657,2144.400000000001,500
7,1112.1899999999998,0.0,1,0,99.18999999999997,0.0,0.9655206468094844,2224.3799999999997,500
8,1252.1549999999936,0.0,1,0,99.45999999999998,0.0,0.960693043575437,2504.309999999987,500
9,1272.1499999999924,0.0,1,0,99.45999999999998,0.0,0.9558895783575597,2544.2999999999847,500
10,1292.1449999999918,0.0,1,0,99.45999999999998,0.0,0.9511101304657719,2584.2899999999836,500
11,1312.139999999992,0.0,1,0,99.72999999999999,0.0,0.946354579813443,2624.279999999984,500
12,1412.114999999992,0.0,1,0,98.91999999999996,0.0,0.9416228069143757,2824.229999999984,500
13,1492.0949999999893,0.0,1,0,99.18999999999997,0.0,0.9369146928798039,2984.1899999999787,500
14,1512.0899999999895,0.0,1,0,99.18999999999997,0.0,0.9322301194154049,3024.179999999979,500
15,1532.0849999999893,0.0,1,0,99.18999999999997,0.0,0.9275689688183278,3064.1699999999787,500
16,1572.0749999999875,0.0,1,0,99.72999999999999,0.0,0.9229311239742362,3144.149999999975,500
17,1572.0749999999873,0.0,1,0,99.18999999999997,0.0,0.918316468354365,3144.1499999999746,500
18,1572.0749999999873,0.0,1,0,99.18999999999997,0.0,0.9137248860125932,3144.1499999999746,500
19,1612.0649999999875,0.0,1,0,99.45999999999998,0.0,0.9091562615825302,3224.129999999975,500
20,1672.049999999988,0.0,1,0,99.72999999999999,0.0,0.9046104802746175,3344.099999999976,500
